Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,212.96,222.79,209.77,222.39,100976
2010-01-05,224.35,228.37,222.06,227.79,138205
2010-01-06,227.79,229.43,225.58,229.43,49411
2010-01-07,221.73,228.37,221.73,224.68,51868
2010-01-08,228.37,230.99,221.65,223.86,45839
2010-01-11,229.43,231.07,226.97,228.61,36492
2010-01-12,226.97,230.24,225.34,226.23,94269
2010-01-13,226.15,231.07,226.15,231.07,59967
2010-01-14,233.94,234.27,229.67,231.07,59782
2010-01-15,231.07,231.89,230.24,231.07,60119
2010-01-18,233.2,234.27,229.6,233.94,26809
2010-01-19,234.19,237.13,231.65,237.13,50730
2010-01-20,236.73,242.55,234.43,237.62,103737
2010-01-21,235.98,237.62,227.79,230.24,61871
2010-01-22,226.15,226.15,219.76,220.17,65584
2010-01-25,219.6,222.79,218.2,218.77,96319
2010-01-26,215.5,218.7,210.67,218.7,45479
2010-01-27,220.25,222.06,214.93,215.91,39697
2010-01-28,218.61,223.69,212.96,212.96,41640
2010-01-29,212.22,214.69,210.75,211.74,43449
2010-02-01,211.4,213.04,207.56,207.56,58405
2010-02-02,210.59,212.06,208.21,208.21,50326
2010-02-03,210.42,212.88,209.03,209.77,26274
2010-02-04,211,211,199.12,199.2,63526
2010-02-05,195.92,198.3,189.36,189.36,131663
2010-02-08,192.56,196.49,186.16,189.28,115575
2010-02-09,192.32,195.76,189.36,190.51,73822
2010-02-10,194.11,195.02,192.15,192.89,55236
2010-02-11,193.87,194.86,185.19,187.65,50136
2010-02-12,192.56,192.96,188.13,192.8,42558
2010-02-15,192.96,194.94,189.85,194.94,46428
2010-02-16,198.38,199.93,197.06,198.54,55832
2010-02-17,202.4,204.77,201.57,203.86,42212
2010-02-18,203.13,203.13,196.83,197.48,42148
2010-02-19,196.24,199.93,191.75,194.2,32501
2010-02-22,196.74,198.05,192.15,192.23,45111
2010-02-23,192.39,194.61,186.91,186.91,78626
2010-02-24,187.65,190.1,186.16,186.41,36102
2010-02-25,186.83,188.47,180.34,180.34,135132
2010-02-26,182.72,189.45,181.75,189.45,62788
2010-03-01,187.65,189.28,180.34,182.97,126323
2010-03-02,185.19,189.12,183.14,187.4,94819
2010-03-03,189.28,195.26,187.8,194.2,104498
2010-03-04,192.96,193.3,190.76,191.58,93687
2010-03-05,192.56,194.11,190.26,194.11,55186
2010-03-08,195.84,195.84,193.38,195.76,52471
2010-03-09,194.52,195.02,190.51,192.56,38216
2010-03-10,193.38,195.02,191,194.86,19012
2010-03-11,194.86,194.86,190.84,192.15,27088
2010-03-12,192.65,196.66,192.56,195.02,52412
2010-03-15,194.44,194.44,191.9,193.05,19601
2010-03-16,194.2,196.16,192.56,196.16,31351
2010-03-17,197.06,202.31,197.06,201.57,69022
2010-03-18,199.53,203.13,198.3,201.57,35453
2010-03-19,202.23,207.96,199.12,201.57,163701
2010-03-22,201.57,206.41,199.93,205.67,33404
2010-03-23,204.85,207.71,204.36,207.31,39681
2010-03-24,207.31,207.96,204.85,206.49,15606
2010-03-25,207.14,212.96,206.08,212.96,49082
2010-03-26,213.04,216.23,210.67,216.23,33093
2010-03-29,216.32,219.6,213.87,218.7,30681
2010-03-30,218.61,218.7,214.69,217.14,24387
2010-03-31,216.98,217.14,211.41,212.97,67389
2010-04-01,213.37,221.97,213.04,221.97,109991
2010-04-06,221.97,225.66,221.97,225.34,82496
2010-04-07,225.34,225.34,222.06,223.69,55473
2010-04-08,221.97,222.06,213.94,218.13,51117
2010-04-09,219.6,230.33,219.6,229.19,89131
2010-04-12,226.97,233.52,226.15,233.52,89196
2010-04-13,232.79,237.39,231.07,237.39,69627
2010-04-14,232.95,240.91,232.95,240.91,68434
2010-04-15,241.72,241.72,238.45,240.66,96970
2010-04-16,237.62,237.62,233.61,235.16,44051
2010-04-19,231.89,231.89,220.33,225.34,81130
2010-04-20,228.61,232.63,227.38,229.93,51122
2010-04-21,232.71,234.34,225.5,226.15,90362
